134,69,52,110
130,67,52,114
126,66,52,117
123,65,52,120
122,65,51,118
121,66,50,115
120,67,50,113
119,68,49,110
119,69,48,108
121,68,48,103
123,68,48,97
125,68,48,91
128,68,48,85
130,68,48,79
132,68,48,73
134,68,48,67
137,68,48,61
140,66,46,61
143,64,44,61
146,62,43,61
150,60,40,61
153,58,39,61
156,56,37,61
160,54,35,61
161,50,35,62
162,46,35,64
163,42,35,65
165,38,35,67
166,34,35,68
167,30,35,70
169,26,35,72
169,27,36,67
169,29,38,62
169,31,39,56
169,33,41,51
170,35,42,46
170,36,43,46
171,37,43,46
171,39,45,46
172,40,45,46
172,41,46,46
173,43,47,46
173,43,47,47
173,43,47,49
173,43,47,51
173,43,47,52
173,43,47,54
173,43,47,56
174,45,45,57
176,47,42,58
177,49,40,59
179,52,37,60
180,54,35,61
182,56,32,62
184,59,30,63
183,66,31,62
183,74,31,61
183,82,31,60
182,89,32,60
182,97,32,59
182,105,33,58
180,112,38,54
179,120,42,49
177,127,48,45
176,135,52,40
175,143,57,36
177,150,53,36
180,158,49,36
183,165,45,36
186,173,41,36
188,174,38,34
190,175,36,33
192,176,34,31
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
210,136,61,30
209,132,61,30
208,129,61,30
208,126,61,30
209,124,61,32
210,122,61,35
212,120,61,37
213,118,61,40
214,116,61,42
216,114,61,45
217,111,60,48
218,109,59,50
219,106,58,53
220,104,57,55
221,101,56,58
223,99,54,60
223,96,53,63
224,94,52,66
225,92,51,69
226,89,49,72
227,87,48,75
228,85,47,78
228,83,47,80
228,82,47,81
228,80,47,83
228,79,47,84
228,78,47,85
228,78,48,85
228,78,50,85
228,78,51,85
228,78,53,85
228,78,54,85
228,78,56,85
228,78,57,86
228,78,58,87
228,78,59,89
228,78,60,90
228,78,61,92
